,input,yields
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,2 or 3 large garlic cloves,2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,a 2-ounce jar diced pimientos,2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,"3 cups coarsely grated sharp Cheddar (preferably English, Canadian, or Vermont; about 12 ounces)",2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,1/3 to 1/2 cup mayonnaise,2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,crackers,2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,toasted baguette slices,2 item(s)
http://www.epicurious.com/recipes/food/views/-adult-pimiento-cheese-100852,crudités,2 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup (1/2 stick) unsalted butter,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,"4-5 medium apples (such as Honeycrisp; about 2 1/3 pounds), peeled, cored, cut into 1/2"" cubes",6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/2 cup (packed) light brown sugar,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1 teaspoon ground ginger,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,"1/2 vanilla bean, split lengthwise",6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup apricot jam,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup brandy,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,2 tablespoons fresh lemon juice,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/2 cup slivered almonds,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup cake flour,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup powdered sugar,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 cup sugar,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,1/4 teaspoon ground ginger,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,"3 large egg whites, room temperature",6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,"1/4 cup (1/2 stick) unsalted butter, melted",6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,Vanilla ice cream,6 item(s)
http://www.epicurious.com/recipes/food/views/-an-apple-a-day-51133430,Six 5-6-ounce ramekins or custard cups,6 item(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,"8 small Japanese eggplants, peeled",4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,16 large fresh mint leaves,4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,"4 large garlic cloves, 2 slivered, 2 flattened",4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,2 cups olive oil (for deep frying),4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,2 pounds tomatoes,4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,7 tablespoons extra-virgin olive oil,4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,"1 medium onion, chopped",4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,6 fresh basil leaves,4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,1 tablespoon dried oregano,4 serving(s)
http://www.epicurious.com/recipes/food/views/-blanketed-eggplant-305,1 1/2 tablespoons drained capers,4 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,"1 lemon, zested, juiced",6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,"1/2 shallot, finely chopped",6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,"1 pound grape tomatoes, halved",6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,2 tablespoons extra-virgin olive oil,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,1 tablespoon Sherry vinegar,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,1 teaspoon kosher salt,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,1 teaspoon freshly ground black pepper,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,1 teaspoon Worcestershire sauce,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,1/4 teaspoon cayenne pepper,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,"5 tablespoons finely grated fresh horseradish, divided",6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,"2 celery stalks, thinly sliced",6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,3 tablespoons coarsely chopped celery leaves,6 serving(s)
http://www.epicurious.com/recipes/food/views/-bloody-mary-tomato-toast-with-celery-and-horseradish-56389813,6 tablespoons mayonnaise,6 serving(s)
